id,Month,Avg,Max,Min
6d8f232e-d34d-4dac-95c4-e01d7983124c,3,"7,6","13,4","3,4"
6d8f232e-d34d-4dac-95c4-e01d7983124c,4,"13,7","19,1","9,0"
6d8f232e-d34d-4dac-95c4-e01d7983124c,5,"18,8","24,3","13,9"
6d8f232e-d34d-4dac-95c4-e01d7983124c,6,"23,4","28,4","19,4"
6d8f232e-d34d-4dac-95c4-e01d7983124c,7,"26,6","30,1","23,5"
6d8f232e-d34d-4dac-95c4-e01d7983124c,8,"27,0","31,1","24,3"
6d8f232e-d34d-4dac-95c4-e01d7983124c,9,"22,7","27,1","19,1"
6d8f232e-d34d-4dac-95c4-e01d7983124c,10,"15,4","20,3","11,0"
6d8f232e-d34d-4dac-95c4-e01d7983124c,11,"7,9","13,2","4,2"
6d8f232e-d34d-4dac-95c4-e01d7983124c,12,"0,1","4,2","-3,6"
86f34228-6edb-4171-ba62-79fffa9e06f6,1,"2,0","5,7","-2,0"
86f34228-6edb-4171-ba62-79fffa9e06f6,2,"4,5","8,6","-0,9"
86f34228-6edb-4171-ba62-79fffa9e06f6,3,"7,7","12,9","1,6"
86f34228-6edb-4171-ba62-79fffa9e06f6,4,"12,7","17,9","5,5"
86f34228-6edb-4171-ba62-79fffa9e06f6,5,"16,8","22,8","10,2"
86f34228-6edb-4171-ba62-79fffa9e06f6,6,"21,0","26,9","13,9"
86f34228-6edb-4171-ba62-79fffa9e06f6,7,"24,8","31,2","16,6"
86f34228-6edb-4171-ba62-79fffa9e06f6,8,"25,4","31,8","17,7"
86f34228-6edb-4171-ba62-79fffa9e06f6,9,"20,6","27,4","12,9"
86f34228-6edb-4171-ba62-79fffa9e06f6,10,"14,7","21,0","7,6"
86f34228-6edb-4171-ba62-79fffa9e06f6,11,"8,6","14,2","2,1"
86f34228-6edb-4171-ba62-79fffa9e06f6,12,"4,0","7,7","-0,2"
fa445d6d-7fb4-4832-ba37-08ff468a1430,1,"5,2","9,5","2,4"
fa445d6d-7fb4-4832-ba37-08ff468a1430,2,"6,2","10,7","3,2"
fa445d6d-7fb4-4832-ba37-08ff468a1430,3,"10,2","15,4","6,1"
fa445d6d-7fb4-4832-ba37-08ff468a1430,4,"15,4","20,4","10,5"
fa445d6d-7fb4-4832-ba37-08ff468a1430,5,"20,2","25,5","15,2"
fa445d6d-7fb4-4832-ba37-08ff468a1430,6,"23,6","28,3","20,0"
fa445d6d-7fb4-4832-ba37-08ff468a1430,7,"28,0","32,5","24,3"
fa445d6d-7fb4-4832-ba37-08ff468a1430,8,"29,1","34,2","25,9"
fa445d6d-7fb4-4832-ba37-08ff468a1430,9,"25,3","29,8","22,7"
fa445d6d-7fb4-4832-ba37-08ff468a1430,10,"18,9","23,8","15,7"
fa445d6d-7fb4-4832-ba37-08ff468a1430,11,"13,3","18,1","9,9"
fa445d6d-7fb4-4832-ba37-08ff468a1430,12,"7,6","11,6","4,3"
1fd503e7-d209-40c1-abd0-299af9c7d4de,1,"16,4","21,6","11,8"
1fd503e7-d209-40c1-abd0-299af9c7d4de,2,"19,4","24,8","14,6"
1fd503e7-d209-40c1-abd0-299af9c7d4de,3,"21,5","26,7","16,9"
1fd503e7-d209-40c1-abd0-299af9c7d4de,4,"24,0","29,1","19,4"
1fd503e7-d209-40c1-abd0-299af9c7d4de,5,"26,4","31,7","21,9"
